fecha,temp_prom,temp_min,tem_max,precipitacion,nieve,viento_dir,viento_vel,presion
4/10/2022,21.4,15.9,27.5,,,80,10.8,1011.2
4/11/2022,18.9,14.4,27.6,11.9,,243,11.1,1007.3
4/12/2022,15.1,10.5,22.9,0,,277,11.7,1011.8
4/13/2022,13.1,6.9,21.3,0,,276,7.8,1017.8
4/14/2022,13.1,6.2,20.4,,,170,6.4,1022.7
4/15/2022,14.2,8.1,20.6,,,83,8.4,1022.4
4/16/2022,16,9.8,22.3,,,79,7.8,1022.7
4/17/2022,18,14.9,22.6,,,87,9,1022.5
4/18/2022,18.9,15.7,23.3,,,74,12.8,1019.5
4/19/2022,19.4,12.9,25.1,,,63,8.4,1016.6
4/20/2022,19.6,11.2,26.1,,,41,8,1014.9
4/21/2022,16.3,11.5,26.9,1,,269,9.2,1012.2
4/22/2022,14.7,9.9,21.6,1,,312,12.6,1006.5
4/23/2022,14.1,4.5,21.7,,,323,14.8,1006.6
4/24/2022,19.4,13.8,24.9,,,7,19.4,1007.1
4/25/2022,21.8,15.9,25.6,27.9,,113,16.2,1005.6
4/26/2022,20.3,16.2,25.1,0,,54,18.6,1004.1
4/27/2022,18.9,12.6,26,11.9,,233,12.8,1005.6
4/28/2022,12.2,8,20.1,0,,206,9.2,1019.4
4/29/2022,7.8,0.6,16.6,,,213,5.8,1027.2
4/30/2022,9.9,2.6,14.9,,,103,4.6,1021.2
5/1/2022,11.6,6,18.3,,,202,8.1,1017.6
5/2/2022,10.3,4.7,18.4,,,165,8.1,1022.9
5/3/2022,9.3,2.7,17.3,,,197,4.7,1023.4
5/4/2022,11.6,2.6,20.1,,,349,6.7,1020.7
5/5/2022,15.7,8.1,21.9,,,1,8.5,1020
5/6/2022,17.8,12,24,,,342,8.4,1021.3
5/7/2022,18.8,12.9,24.5,,,349,10.4,1021.5
5/8/2022,19.1,13.8,24,,,2,10.9,1018.5
5/9/2022,15.8,6.8,24.1,,,72,6,1019.6
5/10/2022,14.8,11.7,22.1,,,164,8.1,1018.3
5/11/2022,12.6,7.5,20.3,,,160,8.6,1021.2
5/12/2022,10.7,2.5,18.1,,,82,8.5,1020.5
5/13/2022,14.4,8.3,19.3,,,21,8.4,1018
5/14/2022,14.9,11,19.6,,,213,7.3,1019.2
5/15/2022,10.2,3.5,19,,,241,13.4,1021.2
5/16/2022,11.9,5.9,15.1,0,,229,20.7,1021.2
5/17/2022,11.2,8.1,15.2,0,,213,19.8,1022.4
5/18/2022,10.3,5.7,14.7,,,193,10.5,1025.2
5/19/2022,8.1,0,15.7,,,345,5,1021.6
5/20/2022,13,8.3,18.6,,,350,10.9,1017.6
5/21/2022,14.8,9.1,21.5,,,302,7.8,1019.5
5/22/2022,11.3,3.3,21.6,,,12,7.6,1019
5/23/2022,15.1,7.9,21.7,,,49,7.7,1016.1
5/24/2022,15.9,11.5,22.1,,,359,9.8,1014.3
5/25/2022,10.6,6,20.1,26.9,,159,12.5,1020.2
5/26/2022,8,2.1,14.1,,,142,9.7,1024.9
5/27/2022,9.9,4.5,15.1,,,165,6.6,1019.1
5/28/2022,9.9,6.1,15.4,0,,103,6.2,1015.1
5/29/2022,8.1,2.4,14.5,0,,246,12,1015.2
5/30/2022,4.5,-1.2,11.1,0,,259,12.2,1019.7
5/31/2022,4.4,-1.4,11.6,0,,284,5.5,1022.5
6/1/2022,5.5,0.2,12.2,0,,264,4.7,1022.6
6/2/2022,5.1,-2.1,12.9,0,,188,4.8,1025
6/3/2022,6.2,0,13.4,0,,92,8.5,1026.4
6/4/2022,10.8,7.7,16.2,0,,69,12.9,1020.1
6/5/2022,8,2.9,16.2,0,,220,3.6,1016.6
6/6/2022,8.6,3.7,16.2,0,,264,4.9,1016.9
6/7/2022,10.7,4.6,16.4,0,,14,9.6,1015.7
6/8/2022,9.3,5.9,16.6,0,,322,6.7,1017.3
6/9/2022,9.5,4.7,14.8,0,,268,8.4,1019.5
6/10/2022,5.9,0.1,15.4,0,,246,14,1026.5
6/11/2022,5.9,-1.1,14.8,0,,265,9.3,1024.3
6/12/2022,8.6,-0.9,19.5,0,,351,4.6,1023.6
6/13/2022,11.2,1.7,19.7,0,,26,9.9,1022
6/14/2022,13.3,7.4,19.6,0,,27,13.1,1017.1
6/15/2022,11.9,6,18.6,0,,53,5.5,1015.9
6/16/2022,9.7,3.9,19.1,0,,159,6.1,1013.4
6/17/2022,7.7,2.9,17.3,0,,260,16.5,1012.8
6/18/2022,8,-0.4,16.5,0,,313,12.6,1017.6
6/19/2022,11.6,6.5,17.1,0,,314,16.4,1017
6/20/2022,8.2,1.9,17.9,0,,106,7.9,1017.2
6/21/2022,9.8,6.1,14.7,0,,155,12.9,1016.6
6/22/2022,5.5,-0.3,14.7,0,,159,11.8,1021.5
6/23/2022,6.7,2.9,9.9,0,,140,7.4,1022
6/24/2022,8.3,3.1,12.3,0,,156,7.5,1025.4
6/25/2022,4.8,0,12.4,0,,181,6.5,1031.8
6/26/2022,6.2,0.4,11.1,0.1,,99,10.1,1025.9
6/27/2022,9.7,7.9,11.9,0,,336,7.4,1018
6/28/2022,10.7,7.6,15,0,,276,9,1017.3
6/29/2022,13,7.5,18.9,0,,330,14.6,1013.9
6/30/2022,12.4,6.1,19.1,0,,248,7.5,1017.9
7/1/2022,9.8,5.9,17.3,7,,53,14,1010.8
7/2/2022,8.4,3.1,13,0,,262,10.1,1014.8
7/3/2022,5.6,-2.7,14.5,0,,53,6.6,1022
7/4/2022,8.6,-0.6,15.1,0,,155,8.2,1017.2
7/5/2022,11.6,9.4,16.1,0,,91,10.7,1018
7/6/2022,11.2,8.9,16.6,0.7,,71,12.7,1010
7/7/2022,9.1,2.1,13.9,1.2,,264,12.1,1016.7
7/8/2022,7.9,-1.1,14,6.1,,74,15.8,1021
7/9/2022,14.3,11.1,18.9,0.2,,59,16,1009.2
7/10/2022,18.6,11.4,23.1,0,,172,14.6,1004.5
7/11/2022,10.5,7.9,20.1,0,,181,13.5,1012.2
7/12/2022,6.4,0,12.6,0,,291,8.9,1019.7
7/13/2022,10.7,7.4,16,0,,21,15.2,1016.7
7/14/2022,11.7,7.4,16.1,1.1,,92,12.3,1010.5
7/15/2022,9.7,7.4,15.1,0,,208,9.9,1009.2
7/16/2022,9.8,7.9,11.1,0,,209,15.4,1012
7/17/2022,7.7,1.8,14.2,0,,317,14.5,1018.5
7/18/2022,10.3,6.3,16.5,0,,286,12,1022.5
