[[2025-10-11 01:48:25]] Starting training on model: model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 01:48:25]] Epoch 1/300, Validation Loss: 0.0233
[[2025-10-11 01:48:25]] Epoch 2/300, Validation Loss: 0.0228
[[2025-10-11 01:48:25]] Epoch 3/300, Validation Loss: 0.0244
[[2025-10-11 01:48:25]] Epoch 4/300, Validation Loss: 0.0225
[[2025-10-11 01:48:25]] Epoch 5/300, Validation Loss: 0.0224
[[2025-10-11 01:48:25]] Epoch 6/300, Validation Loss: 0.0224
[[2025-10-11 01:48:26]] Epoch 7/300, Validation Loss: 0.0223
[[2025-10-11 01:48:26]] Epoch 8/300, Validation Loss: 0.0225
[[2025-10-11 01:48:26]] Epoch 9/300, Validation Loss: 0.0224
[[2025-10-11 01:48:26]] Epoch 10/300, Validation Loss: 0.0223
[[2025-10-11 01:48:26]] Epoch 11/300, Validation Loss: 0.0223
[[2025-10-11 01:48:26]] Epoch 12/300, Validation Loss: 0.0225
[[2025-10-11 01:48:26]] Epoch 13/300, Validation Loss: 0.0224
[[2025-10-11 01:48:26]] Epoch 14/300, Validation Loss: 0.0222
[[2025-10-11 01:48:26]] Epoch 15/300, Validation Loss: 0.0229
[[2025-10-11 01:48:26]] Epoch 16/300, Validation Loss: 0.0222
[[2025-10-11 01:48:26]] Epoch 17/300, Validation Loss: 0.0223
[[2025-10-11 01:48:26]] Epoch 18/300, Validation Loss: 0.0223
[[2025-10-11 01:48:26]] Epoch 19/300, Validation Loss: 0.0228
[[2025-10-11 01:48:27]] Epoch 20/300, Validation Loss: 0.0222
[[2025-10-11 01:48:27]] Epoch 21/300, Validation Loss: 0.0223
[[2025-10-11 01:48:27]] Epoch 22/300, Validation Loss: 0.0223
[[2025-10-11 01:48:27]] Epoch 23/300, Validation Loss: 0.0222
[[2025-10-11 01:48:27]] Epoch 24/300, Validation Loss: 0.0222
[[2025-10-11 01:48:27]] Epoch 25/300, Validation Loss: 0.0222
[[2025-10-11 01:48:27]] Epoch 26/300, Validation Loss: 0.0224
[[2025-10-11 01:48:27]] Epoch 27/300, Validation Loss: 0.0222
[[2025-10-11 01:48:27]] Epoch 28/300, Validation Loss: 0.0222
[[2025-10-11 01:48:27]] Epoch 29/300, Validation Loss: 0.0222
[[2025-10-11 01:48:27]] Epoch 30/300, Validation Loss: 0.0222
[[2025-10-11 01:48:28]] Epoch 31/300, Validation Loss: 0.0221
[[2025-10-11 01:48:28]] Epoch 32/300, Validation Loss: 0.0224
[[2025-10-11 01:48:28]] Epoch 33/300, Validation Loss: 0.0221
[[2025-10-11 01:48:28]] Epoch 34/300, Validation Loss: 0.0221
[[2025-10-11 01:48:28]] Epoch 35/300, Validation Loss: 0.0226
[[2025-10-11 01:48:28]] Epoch 36/300, Validation Loss: 0.0221
[[2025-10-11 01:48:28]] Epoch 37/300, Validation Loss: 0.0221
[[2025-10-11 01:48:28]] Epoch 38/300, Validation Loss: 0.0221
[[2025-10-11 01:48:28]] Epoch 39/300, Validation Loss: 0.0223
[[2025-10-11 01:48:28]] Epoch 40/300, Validation Loss: 0.0222
[[2025-10-11 01:48:28]] Epoch 41/300, Validation Loss: 0.0221
[[2025-10-11 01:48:28]] Epoch 42/300, Validation Loss: 0.0223
[[2025-10-11 01:48:28]] Epoch 43/300, Validation Loss: 0.0221
[[2025-10-11 01:48:28]] Epoch 44/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 45/300, Validation Loss: 0.0222
[[2025-10-11 01:48:29]] Epoch 46/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 47/300, Validation Loss: 0.0223
[[2025-10-11 01:48:29]] Epoch 48/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 49/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 50/300, Validation Loss: 0.0222
[[2025-10-11 01:48:29]] Epoch 51/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 52/300, Validation Loss: 0.0223
[[2025-10-11 01:48:29]] Epoch 53/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 54/300, Validation Loss: 0.0222
[[2025-10-11 01:48:29]] Epoch 55/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 56/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 57/300, Validation Loss: 0.0221
[[2025-10-11 01:48:29]] Epoch 58/300, Validation Loss: 0.0223
[[2025-10-11 01:48:30]] Epoch 59/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 60/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 61/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 62/300, Validation Loss: 0.0222
[[2025-10-11 01:48:30]] Epoch 63/300, Validation Loss: 0.0222
[[2025-10-11 01:48:30]] Epoch 64/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 65/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 66/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 67/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 68/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 69/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 70/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 71/300, Validation Loss: 0.0221
[[2025-10-11 01:48:30]] Epoch 72/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 73/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 74/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 75/300, Validation Loss: 0.0222
[[2025-10-11 01:48:31]] Epoch 76/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 77/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 78/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 79/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 80/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 81/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 82/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 83/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 84/300, Validation Loss: 0.0222
[[2025-10-11 01:48:31]] Epoch 85/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 86/300, Validation Loss: 0.0221
[[2025-10-11 01:48:31]] Epoch 87/300, Validation Loss: 0.0221
[[2025-10-11 01:48:32]] Epoch 88/300, Validation Loss: 0.0221
[[2025-10-11 01:48:32]] Epoch 89/300, Validation Loss: 0.0221
[[2025-10-11 01:48:32]] Epoch 90/300, Validation Loss: 0.0221
[[2025-10-11 01:48:32]] Epoch 91/300, Validation Loss: 0.0221
[[2025-10-11 01:48:32]] Epoch 92/300, Validation Loss: 0.0221
[[2025-10-11 01:48:32]] Epoch 93/300, Validation Loss: 0.0221
[[2025-10-11 01:48:32]] Epoch 94/300, Validation Loss: 0.0221
