[[2025-10-11 02:19:34]] Starting training on model: model_[33, 16, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 02:19:34]] Epoch 1/3000, Validation Loss: 0.0207
[[2025-10-11 02:19:34]] Epoch 2/3000, Validation Loss: 0.0129
[[2025-10-11 02:19:34]] Epoch 3/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:34]] Epoch 4/3000, Validation Loss: 0.0129
[[2025-10-11 02:19:35]] Epoch 5/3000, Validation Loss: 0.0131
[[2025-10-11 02:19:35]] Epoch 6/3000, Validation Loss: 0.0133
[[2025-10-11 02:19:35]] Epoch 7/3000, Validation Loss: 0.0131
[[2025-10-11 02:19:35]] Epoch 8/3000, Validation Loss: 0.0129
[[2025-10-11 02:19:35]] Epoch 9/3000, Validation Loss: 0.0242
[[2025-10-11 02:19:35]] Epoch 10/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:35]] Epoch 11/3000, Validation Loss: 0.0142
[[2025-10-11 02:19:35]] Epoch 12/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:35]] Epoch 13/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:35]] Epoch 14/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:35]] Epoch 15/3000, Validation Loss: 0.0140
[[2025-10-11 02:19:35]] Epoch 16/3000, Validation Loss: 0.0167
[[2025-10-11 02:19:35]] Epoch 17/3000, Validation Loss: 0.0133
[[2025-10-11 02:19:35]] Epoch 18/3000, Validation Loss: 0.0140
[[2025-10-11 02:19:35]] Epoch 19/3000, Validation Loss: 0.0152
[[2025-10-11 02:19:35]] Epoch 20/3000, Validation Loss: 0.0132
[[2025-10-11 02:19:36]] Epoch 21/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:36]] Epoch 22/3000, Validation Loss: 0.0148
[[2025-10-11 02:19:36]] Epoch 23/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:36]] Epoch 24/3000, Validation Loss: 0.0138
[[2025-10-11 02:19:36]] Epoch 25/3000, Validation Loss: 0.0145
[[2025-10-11 02:19:36]] Epoch 26/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:36]] Epoch 27/3000, Validation Loss: 0.0166
[[2025-10-11 02:19:36]] Epoch 28/3000, Validation Loss: 0.0139
[[2025-10-11 02:19:36]] Epoch 29/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:36]] Epoch 30/3000, Validation Loss: 0.0142
[[2025-10-11 02:19:36]] Epoch 31/3000, Validation Loss: 0.0131
[[2025-10-11 02:19:36]] Epoch 32/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:36]] Epoch 33/3000, Validation Loss: 0.0159
[[2025-10-11 02:19:36]] Epoch 34/3000, Validation Loss: 0.0133
[[2025-10-11 02:19:36]] Epoch 35/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:37]] Epoch 36/3000, Validation Loss: 0.0135
[[2025-10-11 02:19:37]] Epoch 37/3000, Validation Loss: 0.0134
[[2025-10-11 02:19:37]] Epoch 38/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:37]] Epoch 39/3000, Validation Loss: 0.0131
[[2025-10-11 02:19:37]] Epoch 40/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:37]] Epoch 41/3000, Validation Loss: 0.0141
[[2025-10-11 02:19:37]] Epoch 42/3000, Validation Loss: 0.0130
[[2025-10-11 02:19:37]] Epoch 43/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:37]] Epoch 44/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:37]] Epoch 45/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:37]] Epoch 46/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:37]] Epoch 47/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:37]] Epoch 48/3000, Validation Loss: 0.0140
[[2025-10-11 02:19:37]] Epoch 49/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:37]] Epoch 50/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:37]] Epoch 51/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:38]] Epoch 52/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:38]] Epoch 53/3000, Validation Loss: 0.0133
[[2025-10-11 02:19:38]] Epoch 54/3000, Validation Loss: 0.0174
[[2025-10-11 02:19:38]] Epoch 55/3000, Validation Loss: 0.0170
[[2025-10-11 02:19:38]] Epoch 56/3000, Validation Loss: 0.0164
[[2025-10-11 02:19:38]] Epoch 57/3000, Validation Loss: 0.0141
[[2025-10-11 02:19:38]] Epoch 58/3000, Validation Loss: 0.0178
[[2025-10-11 02:19:38]] Epoch 59/3000, Validation Loss: 0.0130
[[2025-10-11 02:19:38]] Epoch 60/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:38]] Epoch 61/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:38]] Epoch 62/3000, Validation Loss: 0.0130
[[2025-10-11 02:19:38]] Epoch 63/3000, Validation Loss: 0.0129
[[2025-10-11 02:19:38]] Epoch 64/3000, Validation Loss: 0.0181
[[2025-10-11 02:19:38]] Epoch 65/3000, Validation Loss: 0.0156
[[2025-10-11 02:19:38]] Epoch 66/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:38]] Epoch 67/3000, Validation Loss: 0.0137
[[2025-10-11 02:19:39]] Epoch 68/3000, Validation Loss: 0.0138
[[2025-10-11 02:19:39]] Epoch 69/3000, Validation Loss: 0.0137
[[2025-10-11 02:19:39]] Epoch 70/3000, Validation Loss: 0.0154
[[2025-10-11 02:19:39]] Epoch 71/3000, Validation Loss: 0.0146
[[2025-10-11 02:19:39]] Epoch 72/3000, Validation Loss: 0.0161
[[2025-10-11 02:19:39]] Epoch 73/3000, Validation Loss: 0.0132
[[2025-10-11 02:19:39]] Epoch 74/3000, Validation Loss: 0.0129
[[2025-10-11 02:19:39]] Epoch 75/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:39]] Epoch 76/3000, Validation Loss: 0.0133
[[2025-10-11 02:19:39]] Epoch 77/3000, Validation Loss: 0.0158
[[2025-10-11 02:19:39]] Epoch 78/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:39]] Epoch 79/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:39]] Epoch 80/3000, Validation Loss: 0.0168
[[2025-10-11 02:19:39]] Epoch 81/3000, Validation Loss: 0.0131
[[2025-10-11 02:19:39]] Epoch 82/3000, Validation Loss: 0.0128
[[2025-10-11 02:19:39]] Epoch 83/3000, Validation Loss: 0.0139
[[2025-10-11 02:19:39]] Epoch 84/3000, Validation Loss: 0.0159
[[2025-10-11 02:19:40]] Epoch 85/3000, Validation Loss: 0.0129
[[2025-10-11 02:19:40]] Epoch 86/3000, Validation Loss: 0.0162
[[2025-10-11 02:19:40]] Epoch 87/3000, Validation Loss: 0.0131
[[2025-10-11 02:19:40]] Epoch 88/3000, Validation Loss: 0.0127
[[2025-10-11 02:19:40]] Epoch 89/3000, Validation Loss: 0.0130
[[2025-10-11 02:19:40]] Epoch 90/3000, Validation Loss: 0.0131
