[[2025-10-11 01:33:13]] Starting training on model: model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 01:33:13]] Epoch 1/300, Validation Loss: 0.0418
[[2025-10-11 01:33:13]] Epoch 2/300, Validation Loss: 0.0392
[[2025-10-11 01:33:13]] Epoch 3/300, Validation Loss: 0.0382
[[2025-10-11 01:33:13]] Epoch 4/300, Validation Loss: 0.0376
[[2025-10-11 01:33:13]] Epoch 5/300, Validation Loss: 0.0373
[[2025-10-11 01:33:13]] Epoch 6/300, Validation Loss: 0.0368
[[2025-10-11 01:33:13]] Epoch 7/300, Validation Loss: 0.0364
[[2025-10-11 01:33:13]] Epoch 8/300, Validation Loss: 0.0370
[[2025-10-11 01:33:13]] Epoch 9/300, Validation Loss: 0.0363
[[2025-10-11 01:33:13]] Epoch 10/300, Validation Loss: 0.0360
[[2025-10-11 01:33:14]] Epoch 11/300, Validation Loss: 0.0359
[[2025-10-11 01:33:14]] Epoch 12/300, Validation Loss: 0.0359
[[2025-10-11 01:33:14]] Epoch 13/300, Validation Loss: 0.0361
[[2025-10-11 01:33:14]] Epoch 14/300, Validation Loss: 0.0358
[[2025-10-11 01:33:14]] Epoch 15/300, Validation Loss: 0.0359
[[2025-10-11 01:33:14]] Epoch 16/300, Validation Loss: 0.0358
[[2025-10-11 01:33:14]] Epoch 17/300, Validation Loss: 0.0357
[[2025-10-11 01:33:14]] Epoch 18/300, Validation Loss: 0.0364
[[2025-10-11 01:33:14]] Epoch 19/300, Validation Loss: 0.0367
[[2025-10-11 01:33:14]] Epoch 20/300, Validation Loss: 0.0354
[[2025-10-11 01:33:14]] Epoch 21/300, Validation Loss: 0.0357
[[2025-10-11 01:33:14]] Epoch 22/300, Validation Loss: 0.0354
[[2025-10-11 01:33:14]] Epoch 23/300, Validation Loss: 0.0353
[[2025-10-11 01:33:15]] Epoch 24/300, Validation Loss: 0.0354
[[2025-10-11 01:33:15]] Epoch 25/300, Validation Loss: 0.0353
[[2025-10-11 01:33:15]] Epoch 26/300, Validation Loss: 0.0353
[[2025-10-11 01:33:15]] Epoch 27/300, Validation Loss: 0.0354
[[2025-10-11 01:33:15]] Epoch 28/300, Validation Loss: 0.0353
[[2025-10-11 01:33:15]] Epoch 29/300, Validation Loss: 0.0352
[[2025-10-11 01:33:15]] Epoch 30/300, Validation Loss: 0.0352
[[2025-10-11 01:33:15]] Epoch 31/300, Validation Loss: 0.0354
[[2025-10-11 01:33:15]] Epoch 32/300, Validation Loss: 0.0360
[[2025-10-11 01:33:15]] Epoch 33/300, Validation Loss: 0.0351
[[2025-10-11 01:33:15]] Epoch 34/300, Validation Loss: 0.0351
[[2025-10-11 01:33:15]] Epoch 35/300, Validation Loss: 0.0351
[[2025-10-11 01:33:15]] Epoch 36/300, Validation Loss: 0.0351
[[2025-10-11 01:33:15]] Epoch 37/300, Validation Loss: 0.0359
[[2025-10-11 01:33:16]] Epoch 38/300, Validation Loss: 0.0351
[[2025-10-11 01:33:16]] Epoch 39/300, Validation Loss: 0.0353
[[2025-10-11 01:33:16]] Epoch 40/300, Validation Loss: 0.0350
[[2025-10-11 01:33:16]] Epoch 41/300, Validation Loss: 0.0353
[[2025-10-11 01:33:16]] Epoch 42/300, Validation Loss: 0.0351
[[2025-10-11 01:33:16]] Epoch 43/300, Validation Loss: 0.0350
[[2025-10-11 01:33:16]] Epoch 44/300, Validation Loss: 0.0351
[[2025-10-11 01:33:16]] Epoch 45/300, Validation Loss: 0.0351
[[2025-10-11 01:33:16]] Epoch 46/300, Validation Loss: 0.0350
[[2025-10-11 01:33:16]] Epoch 47/300, Validation Loss: 0.0351
[[2025-10-11 01:33:16]] Epoch 48/300, Validation Loss: 0.0350
[[2025-10-11 01:33:16]] Epoch 49/300, Validation Loss: 0.0352
[[2025-10-11 01:33:16]] Epoch 50/300, Validation Loss: 0.0354
[[2025-10-11 01:33:17]] Epoch 51/300, Validation Loss: 0.0349
[[2025-10-11 01:33:17]] Epoch 52/300, Validation Loss: 0.0349
[[2025-10-11 01:33:17]] Epoch 53/300, Validation Loss: 0.0350
[[2025-10-11 01:33:17]] Epoch 54/300, Validation Loss: 0.0349
[[2025-10-11 01:33:17]] Epoch 55/300, Validation Loss: 0.0351
[[2025-10-11 01:33:17]] Epoch 56/300, Validation Loss: 0.0349
[[2025-10-11 01:33:17]] Epoch 57/300, Validation Loss: 0.0349
[[2025-10-11 01:33:17]] Epoch 58/300, Validation Loss: 0.0349
[[2025-10-11 01:33:17]] Epoch 59/300, Validation Loss: 0.0349
[[2025-10-11 01:33:17]] Epoch 60/300, Validation Loss: 0.0355
[[2025-10-11 01:33:17]] Epoch 61/300, Validation Loss: 0.0360
[[2025-10-11 01:33:17]] Epoch 62/300, Validation Loss: 0.0349
[[2025-10-11 01:33:17]] Epoch 63/300, Validation Loss: 0.0351
[[2025-10-11 01:33:17]] Epoch 64/300, Validation Loss: 0.0348
[[2025-10-11 01:33:18]] Epoch 65/300, Validation Loss: 0.0351
[[2025-10-11 01:33:18]] Epoch 66/300, Validation Loss: 0.0348
[[2025-10-11 01:33:18]] Epoch 67/300, Validation Loss: 0.0349
[[2025-10-11 01:33:18]] Epoch 68/300, Validation Loss: 0.0348
[[2025-10-11 01:33:18]] Epoch 69/300, Validation Loss: 0.0351
[[2025-10-11 01:33:18]] Epoch 70/300, Validation Loss: 0.0349
[[2025-10-11 01:33:18]] Epoch 71/300, Validation Loss: 0.0348
[[2025-10-11 01:33:18]] Epoch 72/300, Validation Loss: 0.0348
[[2025-10-11 01:33:18]] Epoch 73/300, Validation Loss: 0.0353
