[[2025-10-11 01:41:22]] Starting training on model: model_[33, 128, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 01:41:22]] Epoch 1/300, Validation Loss: 0.0439
[[2025-10-11 01:41:23]] Epoch 2/300, Validation Loss: 0.0398
[[2025-10-11 01:41:23]] Epoch 3/300, Validation Loss: 0.0384
[[2025-10-11 01:41:23]] Epoch 4/300, Validation Loss: 0.0380
[[2025-10-11 01:41:23]] Epoch 5/300, Validation Loss: 0.0374
[[2025-10-11 01:41:23]] Epoch 6/300, Validation Loss: 0.0375
[[2025-10-11 01:41:23]] Epoch 7/300, Validation Loss: 0.0373
[[2025-10-11 01:41:23]] Epoch 8/300, Validation Loss: 0.0369
[[2025-10-11 01:41:23]] Epoch 9/300, Validation Loss: 0.0368
[[2025-10-11 01:41:23]] Epoch 10/300, Validation Loss: 0.0368
[[2025-10-11 01:41:23]] Epoch 11/300, Validation Loss: 0.0369
[[2025-10-11 01:41:23]] Epoch 12/300, Validation Loss: 0.0380
[[2025-10-11 01:41:23]] Epoch 13/300, Validation Loss: 0.0368
[[2025-10-11 01:41:24]] Epoch 14/300, Validation Loss: 0.0365
[[2025-10-11 01:41:24]] Epoch 15/300, Validation Loss: 0.0364
[[2025-10-11 01:41:24]] Epoch 16/300, Validation Loss: 0.0366
[[2025-10-11 01:41:24]] Epoch 17/300, Validation Loss: 0.0371
[[2025-10-11 01:41:24]] Epoch 18/300, Validation Loss: 0.0374
[[2025-10-11 01:41:24]] Epoch 19/300, Validation Loss: 0.0364
[[2025-10-11 01:41:24]] Epoch 20/300, Validation Loss: 0.0364
[[2025-10-11 01:41:24]] Epoch 21/300, Validation Loss: 0.0363
[[2025-10-11 01:41:24]] Epoch 22/300, Validation Loss: 0.0365
[[2025-10-11 01:41:24]] Epoch 23/300, Validation Loss: 0.0363
[[2025-10-11 01:41:24]] Epoch 24/300, Validation Loss: 0.0361
[[2025-10-11 01:41:24]] Epoch 25/300, Validation Loss: 0.0358
[[2025-10-11 01:41:25]] Epoch 26/300, Validation Loss: 0.0371
[[2025-10-11 01:41:25]] Epoch 27/300, Validation Loss: 0.0367
[[2025-10-11 01:41:25]] Epoch 28/300, Validation Loss: 0.0361
[[2025-10-11 01:41:25]] Epoch 29/300, Validation Loss: 0.0364
[[2025-10-11 01:41:25]] Epoch 30/300, Validation Loss: 0.0359
[[2025-10-11 01:41:25]] Epoch 31/300, Validation Loss: 0.0359
