[[2025-10-11 01:46:44]] Starting training on model: model_[33, 256, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 01:46:45]] Epoch 1/300, Validation Loss: 0.0241
[[2025-10-11 01:46:45]] Epoch 2/300, Validation Loss: 0.0249
[[2025-10-11 01:46:45]] Epoch 3/300, Validation Loss: 0.0236
[[2025-10-11 01:46:46]] Epoch 4/300, Validation Loss: 0.0236
[[2025-10-11 01:46:46]] Epoch 5/300, Validation Loss: 0.0233
[[2025-10-11 01:46:46]] Epoch 6/300, Validation Loss: 0.0229
[[2025-10-11 01:46:46]] Epoch 7/300, Validation Loss: 0.0238
[[2025-10-11 01:46:47]] Epoch 8/300, Validation Loss: 0.0228
[[2025-10-11 01:46:47]] Epoch 9/300, Validation Loss: 0.0228
[[2025-10-11 01:46:47]] Epoch 10/300, Validation Loss: 0.0227
[[2025-10-11 01:46:47]] Epoch 11/300, Validation Loss: 0.0229
[[2025-10-11 01:46:47]] Epoch 12/300, Validation Loss: 0.0226
[[2025-10-11 01:46:47]] Epoch 13/300, Validation Loss: 0.0240
[[2025-10-11 01:46:47]] Epoch 14/300, Validation Loss: 0.0233
[[2025-10-11 01:46:47]] Epoch 15/300, Validation Loss: 0.0227
[[2025-10-11 01:46:47]] Epoch 16/300, Validation Loss: 0.0230
[[2025-10-11 01:46:48]] Epoch 17/300, Validation Loss: 0.0227
[[2025-10-11 01:46:48]] Epoch 18/300, Validation Loss: 0.0228
[[2025-10-11 01:46:48]] Epoch 19/300, Validation Loss: 0.0227
[[2025-10-11 01:46:48]] Epoch 20/300, Validation Loss: 0.0233
[[2025-10-11 01:46:48]] Epoch 21/300, Validation Loss: 0.0226
[[2025-10-11 01:46:48]] Epoch 22/300, Validation Loss: 0.0231
[[2025-10-11 01:46:48]] Epoch 23/300, Validation Loss: 0.0235
[[2025-10-11 01:46:48]] Epoch 24/300, Validation Loss: 0.0239
[[2025-10-11 01:46:48]] Epoch 25/300, Validation Loss: 0.0225
[[2025-10-11 01:46:48]] Epoch 26/300, Validation Loss: 0.0228
[[2025-10-11 01:46:48]] Epoch 27/300, Validation Loss: 0.0229
[[2025-10-11 01:46:49]] Epoch 28/300, Validation Loss: 0.0225
[[2025-10-11 01:46:49]] Epoch 29/300, Validation Loss: 0.0225
[[2025-10-11 01:46:49]] Epoch 30/300, Validation Loss: 0.0225
[[2025-10-11 01:46:49]] Epoch 31/300, Validation Loss: 0.0228
[[2025-10-11 01:46:49]] Epoch 32/300, Validation Loss: 0.0231
[[2025-10-11 01:46:49]] Epoch 33/300, Validation Loss: 0.0225
[[2025-10-11 01:46:49]] Epoch 34/300, Validation Loss: 0.0228
[[2025-10-11 01:46:49]] Epoch 35/300, Validation Loss: 0.0225
[[2025-10-11 01:46:49]] Epoch 36/300, Validation Loss: 0.0226
[[2025-10-11 01:46:49]] Epoch 37/300, Validation Loss: 0.0229
[[2025-10-11 01:46:50]] Epoch 38/300, Validation Loss: 0.0231
[[2025-10-11 01:46:50]] Epoch 39/300, Validation Loss: 0.0224
[[2025-10-11 01:46:50]] Epoch 40/300, Validation Loss: 0.0227
[[2025-10-11 01:46:50]] Epoch 41/300, Validation Loss: 0.0225
