[[2025-10-11 01:29:14]] Starting training on model: model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 01:29:14]] Epoch 1/30, Validation Loss: 0.0485
[[2025-10-11 01:29:14]] Epoch 2/30, Validation Loss: 0.0427
[[2025-10-11 01:29:14]] Epoch 3/30, Validation Loss: 0.0410
[[2025-10-11 01:29:14]] Epoch 4/30, Validation Loss: 0.0393
[[2025-10-11 01:29:14]] Epoch 5/30, Validation Loss: 0.0386
[[2025-10-11 01:29:14]] Epoch 6/30, Validation Loss: 0.0389
[[2025-10-11 01:29:14]] Epoch 7/30, Validation Loss: 0.0379
[[2025-10-11 01:29:15]] Epoch 8/30, Validation Loss: 0.0382
[[2025-10-11 01:29:15]] Epoch 9/30, Validation Loss: 0.0373
[[2025-10-11 01:29:15]] Epoch 10/30, Validation Loss: 0.0371
[[2025-10-11 01:29:15]] Epoch 11/30, Validation Loss: 0.0370
[[2025-10-11 01:29:15]] Epoch 12/30, Validation Loss: 0.0367
[[2025-10-11 01:29:15]] Epoch 13/30, Validation Loss: 0.0367
[[2025-10-11 01:29:15]] Epoch 14/30, Validation Loss: 0.0368
[[2025-10-11 01:29:15]] Epoch 15/30, Validation Loss: 0.0365
[[2025-10-11 01:29:15]] Epoch 16/30, Validation Loss: 0.0366
[[2025-10-11 01:29:15]] Epoch 17/30, Validation Loss: 0.0363
[[2025-10-11 01:29:15]] Epoch 18/30, Validation Loss: 0.0362
[[2025-10-11 01:29:15]] Epoch 19/30, Validation Loss: 0.0362
[[2025-10-11 01:29:16]] Epoch 20/30, Validation Loss: 0.0363
[[2025-10-11 01:29:16]] Epoch 21/30, Validation Loss: 0.0366
[[2025-10-11 01:29:16]] Epoch 22/30, Validation Loss: 0.0361
[[2025-10-11 01:29:16]] Epoch 23/30, Validation Loss: 0.0359
[[2025-10-11 01:29:16]] Epoch 24/30, Validation Loss: 0.0366
[[2025-10-11 01:29:16]] Epoch 25/30, Validation Loss: 0.0359
[[2025-10-11 01:29:16]] Epoch 26/30, Validation Loss: 0.0359
[[2025-10-11 01:29:16]] Epoch 27/30, Validation Loss: 0.0357
[[2025-10-11 01:29:16]] Epoch 28/30, Validation Loss: 0.0357
[[2025-10-11 01:29:16]] Epoch 29/30, Validation Loss: 0.0358
[[2025-10-11 01:29:16]] Epoch 30/30, Validation Loss: 0.0363
