[[2025-10-15 20:15:15]] Starting training on model: model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-15 20:15:18]] Epoch 1/30, Validation Loss: 0.02247765
[[2025-10-15 20:15:20]] Epoch 2/30, Validation Loss: 0.02254132
[[2025-10-15 20:15:22]] Epoch 3/30, Validation Loss: 0.02179722
[[2025-10-15 20:15:24]] Epoch 4/30, Validation Loss: 0.02412549
[[2025-10-15 20:15:26]] Epoch 5/30, Validation Loss: 0.02176532
[[2025-10-15 20:15:28]] Epoch 6/30, Validation Loss: 0.02167286
[[2025-10-15 20:15:30]] Epoch 7/30, Validation Loss: 0.02191627
[[2025-10-15 20:15:33]] Epoch 8/30, Validation Loss: 0.02387081
[[2025-10-15 20:15:35]] Epoch 9/30, Validation Loss: 0.02183063
