[[2025-10-11 01:49:00]] Starting training on model: model_[33, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss
[[2025-10-11 01:49:05]] Epoch 83/300, Validation Loss: 0.0435
[[2025-10-11 01:49:05]] Epoch 84/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 85/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 86/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 87/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 88/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 89/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 90/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 91/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 92/300, Validation Loss: 0.0435
[[2025-10-11 01:49:05]] Epoch 93/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 94/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 95/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 96/300, Validation Loss: 0.0434
[[2025-10-11 01:49:05]] Epoch 97/300, Validation Loss: 0.0435
[[2025-10-11 01:49:06]] Epoch 98/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 99/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 100/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 101/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 102/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 103/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 104/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 105/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 106/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 107/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 108/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 109/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 110/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 111/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 112/300, Validation Loss: 0.0434
[[2025-10-11 01:49:06]] Epoch 113/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 114/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 115/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 116/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 117/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 118/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 119/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 120/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 121/300, Validation Loss: 0.0436
[[2025-10-11 01:49:07]] Epoch 122/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 123/300, Validation Loss: 0.0434
[[2025-10-11 01:49:07]] Epoch 124/300, Validation Loss: 0.0435
[[2025-10-11 01:49:07]] Epoch 125/300, Validation Loss: 0.0434
